glass,prompt
하이볼 글라스,"Tall clear straight-sided highball glass, circular rim and thick flat base."
칵테일 글라스,"Clear cocktail glass, broad symmetrical V bowl, thin stem and flat round foot."
락 글라스,"Short wide straight-sided rocks glass, broad rim and heavy clear base."
샷 글라스,"Small clear shot glass, compact straight sides, flared rim and heavy base."
허리케인 글라스,"Tall clear hurricane glass, bulbous bowl, narrow waist, flared rim and short stem."
콜린스 글라스,"Tall narrow straight-sided Collins glass, circular rim and thick flat base."
와인 글라스,"Clear wine glass, rounded tapered bowl, slender stem and flat round foot."
쿠페 글라스,"Clear coupe glass, shallow broad bowl, smooth rim, slender stem and round foot."
필스너 글라스,"Tall clear pilsner glass, narrow base, outward-flaring sides and wide rim."
샴페인 플루트,"Clear champagne flute, tall narrow tapered bowl, slender stem and round foot."
마가리타 글라스,"Clear margarita glass, wide stepped double bowl, broad rim, stem and round foot."
머그,"Thick clear glass mug, straight body, heavy flat base and one curved handle."
펀치볼,"Wide clear punch bowl, deep rounded basin, circular rim and stable pedestal foot."
사워 글라스,"Clear sour glass, small rounded bowl, flared top, short stem and round foot."
