registry_version,axis_order,block_order,category,axis_id,label_ko,label_en,definition_ko,source_descriptors,merge_action,scale_id,utility_profile_id,status
sensory-48-ae-v2,0,0,taste_chemosensory,sweetness,단맛,Sweetness,완성 음료에서 지각되는 단맛의 강도,단맛,unchanged,sensory-ae-v1,basic-taste-nonmonotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,1,0,taste_chemosensory,saltiness,짠맛,Saltiness,완성 음료에서 지각되는 염미의 강도,짠맛,unchanged,sensory-ae-v1,basic-taste-nonmonotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,2,0,taste_chemosensory,sourness,신맛,Sourness,완성 음료에서 지각되는 산미의 강도,신맛,unchanged,sensory-ae-v1,basic-taste-nonmonotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,3,0,taste_chemosensory,bitterness,쓴맛,Bitterness,완성 음료에서 지각되는 쓴맛의 강도,쓴맛,unchanged,sensory-ae-v1,basic-taste-nonmonotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,4,0,taste_chemosensory,umami,감칠맛,Umami,완성 음료에서 지각되는 감칠맛의 강도,감칠맛,unchanged,sensory-ae-v1,basic-taste-nonmonotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,5,0,taste_chemosensory,pungency,매운 자극감,Pungency,향신료와 생강 등에 의한 화학적 자극의 강도,매운맛,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,6,0,taste_chemosensory,astringency,떫고 드라이한 수렴감,Astringency,입안을 조이고 건조하게 만드는 수렴 감각의 강도,떫은맛|드라이하고 수렴감,merged_2_to_1,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,7,0,taste_chemosensory,fattiness,지방감,Fattiness,지방 또는 오일에서 오는 지방 감각의 강도,지방맛(고소함),unchanged_sense_narrowed_to_fattiness,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,8,1,fruit,citrus_fruit,시트러스 과일향,Citrus fruit,시트러스류 과일 특성의 강도,시트러스류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,9,1,fruit,berry_fruit,베리 과일향,Berry fruit,베리류 과일 특성의 강도,베리류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,10,1,fruit,stone_fruit,핵과류 과일향,Stone fruit,복숭아와 체리 등 핵과류 특성의 강도,핵과류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,11,1,fruit,pome_fruit,사과 배 과일향,Pome fruit,사과와 배류 과일 특성의 강도,사과·배류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,12,1,fruit,tropical_fruit,열대 과일향,Tropical fruit,파인애플과 망고 등 열대과일 특성의 강도,열대과일류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,13,1,fruit,melon_fruit,멜론 과일향,Melon fruit,멜론류 과일 특성의 강도,멜론류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,14,1,fruit,grape_dried_fruit,포도 건과일향,Grape and dried fruit,포도와 건과일류 특성의 강도,포도·건과일류,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,15,1,aroma,herb_botanical_aroma,허브 보태니컬 향,Herb and botanical aroma,허브와 보태니컬 향의 강도,허브·보태니컬,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,16,1,aroma,spice_aroma,향신료 향,Spice aroma,후각으로 지각되는 향신료 특성의 강도,향신료,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,17,1,aroma,floral_aroma,꽃향,Floral aroma,꽃과 같은 향의 강도,꽃향,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
sensory-48-ae-v2,18,1,aroma,vanilla_caramel_aroma,바닐라 캐러멜 향,Vanilla and caramel aroma,바닐라와 캐러멜 계열 향의 강도,바닐라·캐러멜,unchanged,sensory-ae-v1,association-monotonic-v1,APPROVED_LOCAL_EXPERIMENT
